Threshold,Metric Name/BS and BSS ,Class 0 Value,Class 1 Value
0.55,Accuracy,0.73,0.73
0.55,Recall,0.721,0.85
0.55,Precision,0.983,0.193
0.55,TSS,0.571,0.571
0.55,HSS,0.222,0.222
0.55,FAR,0.016,0.806
0.55,FPR,0.15,0.278
