Threshold,Metric Name/BS and BSS ,Class 0 Value,Class 1 Value
0.15000000000000002,Accuracy,0.787,0.787
0.15000000000000002,Recall,0.817,0.44
0.15000000000000002,Precision,0.943,0.172
0.15000000000000002,TSS,0.257,0.257
0.15000000000000002,HSS,0.151,0.151
0.15000000000000002,FAR,0.056,0.827
0.15000000000000002,FPR,0.559,0.182
