predictday,noaaID,Class,CV_average,NOAA_NUMS,MPlus,y_true
20230415,13272,C,0.261,1,0.2714,0
20230415,13275,N,0.017,1,0.0115,0
20230415,13273,N,0.046,1,0.0182,0
20230416,13280,C,0.888,1,0.1094,0
20230416,13273,N,0.056,1,0.0875,0
20230416,13275,N,0.016,1,0.0449,0
20230416,13272,N,0.244,1,0.2413,0
20230417,13272,N,0.361,1,0.0023,0
20230417,13275,N,0.015,1,0.0093,0
20230417,13282,C,0.545,1,0.0078,0
20230418,13282,N,0.413,1,0.0774,0
20230418,13275,N,0.015,1,0.0162,0
20230419,13275,N,0.017,1,0.0089,0
20230419,13282,C,0.282,1,0.2163,0
20230419,13283,C,0.543,1,0.1253999999999999,0
20230421,13282,C,0.879,1,0.0025,0
20230422,13284,N,0.02,1,0.1313,0
20230422,13282,N,0.763,1,0.2484,0
20230423,13284,N,0.019,1,0.15,0
20230423,13282,C,0.758,1,0.0364,0
20230424,13284,N,0.017,1,0.0081999999999999,0
20230424,13285,C,0.485,1,0.0409999999999999,0
20230425,13284,N,0.015,1,0.0088,0
20230425,13285,N,0.42,1,0.0315,0
20230426,13284,N,0.015,1,0.0232,0
20230429,13291,N,0.052,1,0.0363,0
20230430,13291,N,0.049,1,0.0322,0
20230501,13291,C,0.077,1,0.1977,0
20230502,13291,N,0.086,1,0.0516,0
20230503,13293,M,0.927,1,0.2853,1
20230505,13294,N,0.106,1,0.0222,0
20230505,13297,C,0.78,1,0.0023,0
20230506,13294,N,0.098,1,0.0046999999999999,0
20230506,13297,C,0.819,1,0.2433,0
20230507,13299,N,0.619,1,0.2263,0
20230507,13294,N,0.068,1,0.0046,0
20230507,13297,C,0.877,1,0.1052,0
20230508,13299,N,0.201,1,0.0019,0
20230508,13294,N,0.067,1,0.0407,0
20230508,13297,C,0.785,1,0.2195,0
20230509,13297,N,0.837,1,0.984,0
20230509,13299,C,0.051,1,0.0699,0
20230509,13294,N,0.058,1,0.1105,0
20230511,13294,M,0.082,1,0.0060999999999999,1
20230511,13297,N,0.936,1,0.0027,0
20230517,13304,N,0.029,1,0.002,0
20230518,13307,N,0.019,1,0.017,0
20230519,13308,N,0.168,1,0.0229,0
20230519,13307,N,0.016,1,0.0040999999999999,0
20230520,13307,N,0.019,1,0.108,0
20230520,13310,N,0.852,1,0.1956,0
20230526,13315,M,0.906,1,0.0269,1
20230527,13315,C,0.939,1,0.0237,0
20230528,13315,M,0.837,1,0.0288,1
20230529,13315,C,0.624,1,0.9965,0
20230529,13316,N,0.048,1,0.0574,0
20230530,13315,M,0.728,1,0.1911,1
20230530,13316,N,0.03,1,0.2292,0
20230531,13316,N,0.019,1,0.0056999999999999,0
20230531,13315,C,0.923,1,0.9972,0
20230601,13315,C,0.915,1,0.0132,0
20230601,13316,N,0.016,1,0.2021,0
20230601,13319,N,0.491,1,0.997,0
20230602,13316,N,0.016,1,0.0051,0
20230602,13319,C,0.468,1,0.1226,0
20230602,13320,N,0.359,1,0.0024,0
20230602,13321,N,0.574,1,0.0648,0
20230603,13320,N,0.185,1,0.0165,0
20230603,13321,N,0.507,1,0.0108,0
20230603,13319,C,0.657,1,0.0886999999999999,0
20230603,13323,C,0.822,1,0.191,0
20230604,13321,N,0.324,1,0.0023,0
20230604,13323,C,0.929,1,0.2327,0
20230604,13320,N,0.131,1,0.04,0
20230605,13323,C,0.88,1,0.0177,0
20230605,13320,C,0.113,1,0.0834999999999999,0
20230605,13326,N,0.173,1,0.0022,0
20230605,13325,N,0.019,1,0.0338,0
20230605,13321,N,0.198,1,0.0062,0
20230606,13326,N,0.532,1,0.0027,0
20230606,13321,N,0.179,1,0.003,0
20230606,13320,N,0.147,1,0.2714,0
20230606,13325,N,0.016,1,0.012,0
20230606,13323,N,0.613,1,0.2747,0
20230607,13326,N,0.532,1,0.0163999999999999,0
20230607,13321,N,0.23,1,0.0909,0
20230607,13323,C,0.3,1,0.2859,0
20230607,13327,M,0.715,1,0.0203,1
20230607,13325,N,0.024,1,0.0484999999999999,0
20230608,13323,N,0.241,1,0.0346,0
20230608,13327,C,0.691,1,0.9792,0
20230608,13321,N,0.318,1,0.0182,0
20230609,13323,C,0.281,1,0.0019,0
20230609,13327,C,0.89,1,0.0356999999999999,0
20230609,13321,C,0.565,1,0.0014,0
20230610,13323,C,0.201,1,0.2446,0
20230610,13331,N,0.377,1,0.9902,0
20230610,13327,C,0.832,1,0.1417,0
20230611,13327,C,0.704,1,0.21,0
20230611,13331,C,0.232,1,0.0143,0
20230611,13332,N,0.015,1,0.0528,0
20230612,13327,C,0.615,1,0.1318,0
20230612,13331,C,0.109,1,0.0066,0
20230612,13332,N,0.015,1,0.0028,0
20230615,13331,N,0.586,1,0.0021,0
20230616,13333,N,0.258,1,0.0676,0
20230616,13331,M,0.35,1,0.0019,1
20230617,13331,C,0.353,1,0.6255,0
20230617,13333,C,0.147,1,0.1771,0
20230617,13334,N,0.034,1,0.0942,0
20230618,13333,N,0.27,1,0.1757999999999999,0
20230619,13333,N,0.213,1,0.0017,0
20230620,13333,N,0.344,1,0.0489,0
20230620,13339,N,0.339,1,0.0034,0
20230621,13340,N,0.762,1,0.0078,0
20230621,13333,N,0.476,1,0.2815,0
20230621,13339,C,0.296,1,0.0447,0
20230622,13340,C,0.858,1,0.0016,0
20230622,13333,N,0.291,1,0.0021,0
20230622,13339,C,0.301,1,0.0072,0
20230623,13339,N,0.196,1,0.1255,0
20230623,13341,C,0.72,1,0.6607,0
20230623,13345,N,0.047,1,0.0039,0
20230623,13340,C,0.715,1,0.654,0
20230624,13340,C,0.462,1,0.2962,0
20230624,13341,C,0.501,1,0.074,0
20230624,13345,N,0.022,1,0.0056999999999999,0
20230624,13339,C,0.116,1,0.2519,0
